symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,bars,tv_median20,distance_to_52w_high,met_count,close,volume,date,rs_score,rs_benchmark,recommended_rs_pass,recommended_distance_to_high_pass,met_count_fin,rs_score_fin,provider_symbol,fin_met_count,fetch_status,unavailable_reason,has_error,rs_percentile,fin_percentile,total_percentile,total_met_count
GNT,True,True,True,True,True,True,True,True,330,509633.4909915924,0.06236558191513586,7,8.720000267028809,51700.0,2026-04-24,80.03,SPY,True,True,7,80.03,GNT,7,complete,,False,49.141181399245916,97.33975701717638,146.4809384164223,14
RTO,True,True,True,True,True,True,True,True,330,34908508.70742798,0.017017489733215485,7,34.08000183105469,1445600.0,2026-04-24,79.64,SPY,True,True,7,79.64,RTO,7,complete,,False,48.010054461667366,97.33975701717638,145.34981147884375,14
FUND,True,True,True,True,True,True,True,True,330,244432.4978351593,0.001964681450304262,7,10.15999984741211,49000.0,2026-04-24,79.63,SPY,True,True,7,79.63,FUND,7,complete,,False,47.96816087138668,97.33975701717638,145.30791788856305,14
VLGEA,True,True,True,True,True,True,True,True,330,2038908.4531784058,0.06028363187933783,7,42.400001525878906,36300.0,2026-04-24,79.26,SPY,True,True,7,79.26,VLGEA,7,complete,,False,46.79514034352744,97.33975701717638,144.13489736070383,14
CEE,True,True,True,True,True,True,True,True,330,341857.9988479614,0.07410799606594076,7,20.239999771118164,16300.0,2026-04-24,79.02,SPY,True,True,7,79.02,CEE,7,complete,,False,46.16673648931713,97.33975701717638,143.5064935064935,14
PEO,True,True,True,True,True,True,True,True,330,2526587.938117981,0.07409970401092048,7,26.739999771118164,149700.0,2026-04-24,78.1,SPY,True,True,7,78.1,PEO,7,complete,,False,43.82069543359866,97.33975701717638,141.16045245077504,14
IHG,True,True,True,True,True,True,True,True,330,31672612.603759766,0.030552061959036814,7,146.27999877929688,261200.0,2026-04-24,77.71,SPY,True,True,7,77.71,IHG,7,complete,,False,42.731462086300795,97.33975701717638,140.07121910347718,14
NWN,True,True,True,True,True,True,True,True,330,11254765.828704834,0.04697269136047744,7,53.36000061035156,254600.0,2026-04-24,77.16,SPY,True,True,7,77.16,NWN,7,complete,,False,41.4327607875995,97.33975701717638,138.77251780477587,14
BGR,True,True,True,True,True,True,True,True,330,2124414.0048980713,0.08361589750232168,7,16.219999313354492,55600.0,2026-04-24,76.76,SPY,True,True,7,76.76,BGR,7,complete,,False,40.42731462086301,97.33975701717638,137.7670716380394,14
IHD,True,True,True,True,True,True,True,True,330,462712.00256347656,0.0013717081065849346,7,7.28000020980835,106000.0,2026-04-24,76.22,SPY,True,True,7,76.22,IHD,7,complete,,False,39.19145370758274,97.33975701717638,136.53121072475912,14
NJR,True,True,True,True,True,True,True,True,330,23640317.06314087,0.032582340437727564,7,55.81999969482422,625800.0,2026-04-24,75.25,SPY,True,True,7,75.25,NJR,7,complete,,False,35.944700460829495,97.33975701717638,133.2844574780059,14
MXE,True,True,True,True,True,True,True,True,330,34404.99973297119,0.06433566881278951,7,13.380000114440918,300.0,2026-04-24,75.22,SPY,True,True,7,75.22,MXE,7,complete,,False,35.86091328026812,97.33975701717638,133.2006702974445,14
CAF,True,True,True,True,True,True,True,True,330,1136134.495639801,0.026413100472232554,7,18.43000030517578,41600.0,2026-04-24,75.17,SPY,True,True,7,75.17,CAF,7,complete,,False,35.609551738583995,97.33975701717638,132.94930875576037,14
MXF,True,True,True,True,True,True,True,True,330,949325.0059127808,0.059999963511591425,7,21.6200008392334,99600.0,2026-04-24,73.93,SPY,True,True,7,73.93,MXF,7,complete,,False,32.677000418935904,97.33975701717638,130.0167574361123,14
MDU,True,True,True,True,True,True,True,True,330,29370125.32997132,0.030262501940665598,7,21.790000915527344,1100200.0,2026-04-24,73.87,SPY,True,True,7,73.87,MDU,7,complete,,False,32.50942605781316,97.33975701717638,129.84918307498953,14
UTG,True,True,True,True,True,True,True,True,330,7776239.455986023,0.00377803667478005,7,42.18999862670898,126900.0,2026-04-24,73.7,SPY,True,True,7,73.7,UTG,7,complete,,False,32.04859656472559,97.33975701717638,129.38835358190198,14
NXG,True,True,True,True,True,True,True,True,330,2940376.9414901733,0.02629272603084587,7,55.54999923706055,52400.0,2026-04-24,73.68,SPY,True,True,7,73.68,NXG,7,complete,,False,31.964809384164223,97.33975701717638,129.3045664013406,14
RGT,True,True,True,True,True,True,True,True,330,186631.99744224548,0.03335557088955865,7,14.489999771118164,16800.0,2026-04-24,72.6,SPY,True,True,7,72.6,RGT,7,complete,,False,28.90657729367407,97.33975701717638,126.24633431085044,14
ORA,True,True,True,True,True,True,True,True,330,79219463.7008667,0.1449690824804405,7,113.36000061035156,391300.0,2026-04-24,72.47,SPY,True,True,7,72.47,ORA,7,complete,,False,28.529534981147886,97.33975701717638,125.86929199832427,14
RVT,True,True,True,True,True,True,True,True,330,3309150.032234192,0.020822178279769066,7,18.34000015258789,112800.0,2026-04-24,72.12,SPY,True,True,7,72.12,RVT,7,complete,,False,27.56598240469208,97.33975701717638,124.90573942186846,14
HQL,True,True,True,True,True,True,True,True,330,1577370.9854125977,0.045856348409571646,7,17.270000457763672,42500.0,2026-04-24,71.61,SPY,True,True,7,71.61,HQL,7,complete,,False,26.30917469627147,97.33975701717638,123.64893171344785,14
BKH,True,True,True,True,True,True,True,True,330,65830019.61097717,0.05744064216831868,7,74.16999816894531,468500.0,2026-04-24,71.43,SPY,True,True,7,71.43,BKH,7,complete,,False,25.890238793464597,97.33975701717638,123.22999581064099,14
GGZ,True,True,True,True,True,True,True,True,330,89813.99841308594,0.04047609694690235,7,16.1200008392334,800.0,2026-04-24,70.88,SPY,True,True,7,70.88,GGZ,7,complete,,False,24.633431085043988,97.33975701717638,121.97318810222038,14
PUK,True,True,True,True,True,True,True,True,330,24534186.427116394,0.0972671050448618,7,30.71999931335449,630800.0,2026-04-24,70.22,SPY,True,True,7,70.22,PUK,7,complete,,False,22.91579388353582,97.33975701717638,120.2555509007122,14
BGS,True,True,True,True,True,True,True,False,330,8908096.096611023,0.24113478583113257,7,5.349999904632568,1011000.0,2026-04-24,69.19,SPY,False,False,7,69.19,BGS,7,complete,,False,20.276497695852534,97.33975701717638,117.61625471302892,14
CTO,True,True,True,True,True,True,True,False,330,3529873.5005378723,0.028641971541039757,7,19.670000076293945,139400.0,2026-04-24,68.77,SPY,False,True,7,68.77,CTO,7,complete,,False,19.271051529116047,97.33975701717638,116.61080854629243,14
NCZ,True,True,True,True,True,True,True,False,330,964239.9972438812,0.004651205821354698,7,14.979999542236328,53900.0,2026-04-24,68.73,SPY,False,True,7,68.73,NCZ,7,complete,,False,19.145370758273984,97.33975701717638,116.48512777545037,14
ADX,True,True,True,True,True,True,True,False,330,7317870.839786531,0.004446265617188083,7,24.6299991607666,393100.0,2026-04-24,68.13,SPY,False,True,7,68.13,ADX,7,complete,,False,17.51152073732719,97.33975701717638,114.85127775450357,14
GAM,True,True,True,True,True,True,True,False,330,1481496.5213775635,0.0163191572389616,7,65.0999984741211,10700.0,2026-04-24,68.06,SPY,False,True,7,68.06,GAM,7,complete,,False,17.343946376204443,97.33975701717638,114.68370339338082,14
