symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,met_count,close,volume,date,rs_score,rs_benchmark,cond8,met_count_fin,rs_score_fin,provider_symbol,fin_met_count,has_error,rs_percentile,fin_percentile,total_percentile,total_met_count
UBR,True,True,True,True,True,True,True,8,35.93000030517578,3900.0,2026-03-11,92.92,SPY,True,8,92.92,,6,False,57.82828282828283,80.68181818181817,138.510101010101,14
BRZU,True,True,True,True,True,True,True,8,108.81999969482422,46100.0,2026-03-11,92.91,SPY,True,8,92.91,,6,False,57.7020202020202,80.68181818181817,138.38383838383837,14
AUMI,True,True,True,True,True,True,True,8,107.38700103759766,4900.0,2026-03-11,92.85,SPY,True,8,92.85,,6,False,57.1969696969697,80.68181818181817,137.87878787878788,14
SGDM,True,True,True,True,True,True,True,8,84.08999633789062,35200.0,2026-03-11,92.79,SPY,True,8,92.79,,6,False,56.81818181818182,80.68181818181817,137.5,14
GDX,True,True,True,True,True,True,True,8,101.36000061035156,19241600.0,2026-03-11,92.78,SPY,True,8,92.78,,6,False,56.69191919191919,80.68181818181817,137.37373737373736,14
UI,True,True,True,True,True,True,True,8,765.8599853515625,114400.0,2026-03-11,92.65,SPY,True,8,92.65,UI,6,False,55.93434343434344,80.68181818181817,136.6161616161616,14
LIMI,True,True,True,True,True,True,True,8,50.922000885009766,100.0,2026-03-11,92.57,SPY,True,8,92.57,,6,False,55.42929292929293,80.68181818181817,136.1111111111111,14
AEM,True,True,True,True,True,True,True,8,222.8099975585937,1773500.0,2026-03-11,92.52,SPY,True,8,92.52,AEM,6,False,55.17676767676768,80.68181818181817,135.85858585858583,14
EMX,True,True,True,True,True,True,True,8,3.1700000762939453,386400.0,2025-08-19,92.51,SPY,True,8,92.51,,6,False,55.05050505050505,80.68181818181817,135.7323232323232,14
RILYT,True,True,True,True,True,True,True,8,17.399999618530273,11300.0,2026-03-11,92.48,SPY,True,8,92.48,,6,False,54.92424242424242,80.68181818181817,135.6060606060606,14
DMAT,True,True,True,True,True,True,True,8,32.471900939941406,13814.0,2026-03-11,92.45,SPY,True,8,92.45,,6,False,54.7979797979798,80.68181818181817,135.47979797979798,14
SMTC,True,True,True,True,True,True,True,8,85.81999969482422,1022100.0,2026-03-11,92.44,SPY,True,8,92.44,SMTC,6,False,54.67171717171717,80.68181818181817,135.35353535353534,14
BBC,True,True,True,True,True,True,True,8,42.959999084472656,27800.0,2026-03-11,92.43,SPY,True,8,92.43,,6,False,54.54545454545454,80.68181818181817,135.22727272727272,14
MKOR,True,True,True,True,True,True,True,8,46.11000061035156,18200.0,2026-03-11,92.41,SPY,True,8,92.41,,6,False,54.41919191919192,80.68181818181817,135.1010101010101,14
CLBR,True,True,True,True,True,True,True,8,17.239999771118164,4693090.0,2025-07-15,92.26,SPY,True,8,92.26,,6,False,53.535353535353536,80.68181818181817,134.2171717171717,14
ILIT,True,True,True,True,True,True,True,8,17.344999313354492,8600.0,2026-03-11,92.24,SPY,True,8,92.24,,6,False,53.28282828282829,80.68181818181817,133.96464646464648,14
AMRK,True,True,True,True,True,True,True,8,42.13999938964844,636700.0,2026-01-20,92.06,SPY,True,8,92.06,,6,False,51.51515151515152,80.68181818181817,132.1969696969697,14
VMEO,True,True,True,True,True,True,True,8,7.849999904632568,0.0,2025-11-26,91.99,SPY,True,8,91.99,,6,False,51.010101010101,80.68181818181817,131.69191919191917,14
ZIM,True,True,True,True,True,True,True,8,28.06999969482422,2587700.0,2026-03-11,91.86,SPY,True,8,91.86,ZIM,6,False,50.252525252525245,80.68181818181817,130.93434343434342,14
EZPW,True,True,True,True,True,True,True,8,26.18000030517578,428800.0,2026-03-11,91.83,SPY,True,8,91.83,EZPW,6,False,50.0,80.68181818181817,130.6818181818182,14
ERX,True,True,True,True,True,True,True,8,89.0,614200.0,2026-03-11,91.81,SPY,True,8,91.81,,6,False,49.87373737373738,80.68181818181817,130.55555555555554,14
SAND,True,True,True,True,True,True,True,8,10.329999923706056,4207000.0,2025-08-19,91.78,SPY,True,8,91.78,,6,False,49.74747474747475,80.68181818181817,130.42929292929293,14
DIG,True,True,True,True,True,True,True,8,57.43000030517578,68000.0,2026-03-11,91.74,SPY,True,8,91.74,,6,False,49.621212121212125,80.68181818181817,130.3030303030303,14
GLTR,True,True,True,True,True,True,True,8,244.88999938964844,63500.0,2026-03-11,91.72,SPY,True,8,91.72,,6,False,49.494949494949495,80.68181818181817,130.17676767676767,14
GNFT,True,True,True,True,True,True,True,8,5.96999979019165,1853.0,2026-01-20,91.6,SPY,True,8,91.6,,6,False,48.86363636363637,80.68181818181817,129.54545454545453,14
RDUS,True,True,True,True,True,True,True,8,30.0,1407412.0,2025-07-10,91.41,SPY,True,8,91.41,,6,False,47.6010101010101,80.68181818181817,128.28282828282826,14
PTEN,True,True,True,True,True,True,True,8,9.81999969482422,12450500.0,2026-03-11,91.35,SPY,True,8,91.35,PTEN,6,False,47.0959595959596,80.68181818181817,127.77777777777776,14
MITK,True,True,True,True,True,True,True,8,14.630000114440918,726100.0,2026-03-11,91.32,SPY,True,8,91.32,MITK,6,False,46.96969696969697,80.68181818181817,127.65151515151514,14
