symbol,fin_met_count,rs_score,met_count,total_met_count,added_date
SMRT,4,88.05,8,12,2026-03-14
SMTC,6,92.44,8,14,2026-03-14
SGDJ,6,93.06,8,14,2026-03-14
SETH,6,95.06,8,14,2026-03-14
THTX,6,94.2,8,14,2026-03-14
SENEB,0,87.38,8,8,2026-03-14
RPTX,0,94.04,8,8,2026-03-14
RRBI,0,88.14,8,8,2026-03-14
RRX,0,89.53,8,8,2026-03-14
RSVR,0,85.54,8,8,2026-03-14
RTX,0,87.7,8,8,2026-03-14
RVRC,6,97.59,8,14,2026-03-14
RYAM,0,95.58,8,8,2026-03-14
SA,0,94.81,8,8,2026-03-14
SAND,6,91.78,8,14,2026-03-14
SATX,6,97.17,8,14,2026-03-14
SB,0,88.08,8,8,2026-03-14
SBIO,6,87.14,8,14,2026-03-14
SBS,0,86.32,8,8,2026-03-14
SCCO,8,93.59,8,16,2026-03-14
SCHL,4,89.09,8,12,2026-03-14
SD,0,86.08,8,8,2026-03-14
SDRL,0,89.6,8,8,2026-03-14
SDS,4,95.33,8,12,2026-03-14
SEB,0,89.14,8,8,2026-03-14
SEI,0,93.25,8,8,2026-03-14
SENEA,0,89.12,8,8,2026-03-14
SNDK,7,99.44,8,15,2026-03-14
SNDX,4,92.14,8,12,2026-03-14
SNSE,0,99.91,8,8,2026-03-14
SOHO,0,95.66,8,8,2026-03-14
SWBI,4,87.81,8,12,2026-03-14
SXI,0,86.2,8,8,2026-03-14
SYRE,0,94.62,8,8,2026-03-14
TALK,6,93.66,8,14,2026-03-14
TALO,0,86.97,8,8,2026-03-14
TAN,6,88.38,8,14,2026-03-14
TATT,6,94.08,8,14,2026-03-14
TAYD,0,95.01,8,8,2026-03-14
TBN,0,85.7,8,8,2026-03-14
TDW,4,90.17,8,12,2026-03-14
TE,0,98.32,8,8,2026-03-14
TEN,0,94.46,8,8,2026-03-14
TENX,0,95.48,8,8,2026-03-14
TER,7,96.94,8,15,2026-03-14
TERN,0,99.23,8,8,2026-03-14
TEX,0,85.98,8,8,2026-03-14
TFPM,4,89.94,8,12,2026-03-14
TGI,6,86.44,8,14,2026-03-14
THC,4,87.87,8,12,2026-03-14
THM,0,97.08,8,8,2026-03-14
THR,0,90.84,8,8,2026-03-14
SVT,6,98.57,8,14,2026-03-14
SVM,5,96.09,8,13,2026-03-14
SUPN,0,86.98,8,8,2026-03-14
SSL,7,93.9,8,15,2026-03-14
SOXQ,6,87.17,8,14,2026-03-14
SOXX,6,87.53,8,14,2026-03-14
SPB,0,85.19,8,8,2026-03-14
SPHR,6,96.15,8,14,2026-03-14
SPTN,6,87.08,8,14,2026-03-14
SPXS,6,97.7,8,14,2026-03-14
SQM,4,92.95,8,12,2026-03-14
SRL,7,89.43,8,15,2026-03-14
SRZN,0,95.31,8,8,2026-03-14
SSP,0,92.23,8,8,2026-03-14
SU,0,89.39,8,8,2026-03-14
SSRM,6,94.84,8,14,2026-03-14
SSSS,0,86.3,8,8,2026-03-14
STNG,0,91.27,8,8,2026-03-14
STOK,5,96.76,8,13,2026-03-14
STRL,0,94.86,8,8,2026-03-14
STRO,0,99.64,8,8,2026-03-14
STRS,0,92.16,8,8,2026-03-14
STTK,4,98.1,8,12,2026-03-14
STX,0,96.78,8,8,2026-03-14
LHX,0,88.97,8,8,2026-03-14
LGND,0,91.36,8,8,2026-03-14
LGCY,0,90.15,8,8,2026-03-14
CELC,0,98.79,8,8,2026-03-14
CFSB,6,94.36,8,14,2026-03-14
CGAU,0,96.01,8,8,2026-03-14
CGEM,0,91.37,8,8,2026-03-14
CGEN,9,88.64,8,17,2026-03-14
CGNX,0,88.48,8,8,2026-03-14
CGON,0,94.98,8,8,2026-03-14
CHN,6,88.0,8,14,2026-03-14
CHPS,6,90.75,8,14,2026-03-14
CIEN,5,97.85,8,13,2026-03-14
CKPT,6,93.22,8,14,2026-03-14
CLBR,6,92.26,8,14,2026-03-14
CLMT,0,94.49,8,8,2026-03-14
CLYM,0,98.62,8,8,2026-03-14
CM,4,86.48,8,12,2026-03-14
CMA,0,85.78,8,8,2026-03-14
CMBT,0,86.27,8,8,2026-03-14
CMRE,0,88.71,8,8,2026-03-14
CNL,0,93.33,8,8,2026-03-14
CNQ,0,90.26,8,8,2026-03-14
CNTA,0,89.51,8,8,2026-03-14
CNTB,0,96.49,8,8,2026-03-14
CENX,0,96.98,8,8,2026-03-14
CEF,5,91.63,8,13,2026-03-14
BPMC,6,87.77,8,14,2026-03-14
CDTX,6,99.05,8,14,2026-03-14
BREA,6,99.54,8,14,2026-03-14
BRZU,6,92.91,8,14,2026-03-14
BTE,0,93.05,8,8,2026-03-14
BTG,5,87.95,8,13,2026-03-14
BTSG,4,92.19,8,12,2026-03-14
BTSGU,4,91.17,8,12,2026-03-14
BTU,5,94.47,8,13,2026-03-14
BVN,4,95.15,8,12,2026-03-14
BW,0,99.29,8,8,2026-03-14
BWA,0,88.85,8,8,2026-03-14
BWET,6,98.9,8,14,2026-03-14
CABA,0,91.22,8,8,2026-03-14
CAMT,4,94.52,8,12,2026-03-14
CAPR,0,97.13,8,8,2026-03-14
CASY,0,87.96,8,8,2026-03-14
CAT,0,92.13,8,8,2026-03-14
CBUS,0,96.74,8,8,2026-03-14
CC,0,87.54,8,8,2026-03-14
CCJ,4,93.04,8,12,2026-03-14
CCNR,6,88.21,8,14,2026-03-14
CCO,5,92.05,8,13,2026-03-14
CNTX,0,98.4,8,8,2026-03-14
CNXT,6,86.46,8,14,2026-03-14
COAL,6,86.1,8,14,2026-03-14
COCO,0,88.32,8,8,2026-03-14
DENN,0,86.62,8,8,2026-03-14
DFEN,6,94.13,8,14,2026-03-14
DGII,6,87.76,8,14,2026-03-14
DGP,6,95.07,8,14,2026-03-14
DHC,0,95.24,8,8,2026-03-14
DHIL,0,86.03,8,8,2026-03-14
DHT,0,91.06,8,8,2026-03-14
DIG,6,91.74,8,14,2026-03-14
DINO,0,86.45,8,8,2026-03-14
DIST,6,97.02,8,14,2026-03-14
DJP,6,85.69,8,14,2026-03-14
DK,0,93.77,8,8,2026-03-14
DLX,0,90.28,8,8,2026-03-14
DMAT,6,92.45,8,14,2026-03-14
DNLI,0,85.35,8,8,2026-03-14
DNN,0,95.22,8,8,2026-03-14
DNTH,5,97.49,8,13,2026-03-14
DOCN,5,93.96,8,13,2026-03-14
DOOO,6,90.73,8,14,2026-03-14
DRTS,0,95.44,8,8,2026-03-14
DSGN,4,92.29,8,12,2026-03-14
DCO,4,92.39,8,12,2026-03-14
DBP,6,90.15,8,14,2026-03-14
DBE,6,89.01,8,14,2026-03-14
CTRI,0,87.49,8,8,2026-03-14
CODA,0,94.59,8,8,2026-03-14
COHR,5,96.61,8,13,2026-03-14
COOP,6,93.52,8,14,2026-03-14
CRAK,6,87.67,8,14,2026-03-14
CRC,0,86.54,8,8,2026-03-14
CRS,0,92.61,8,8,2026-03-14
CSNR,6,86.22,8,14,2026-03-14
CSTM,0,93.32,8,8,2026-03-14
CTNM,0,93.44,8,8,2026-03-14
CTRN,0,89.73,8,8,2026-03-14
DBD,4,87.04,8,12,2026-03-14
CVE,0,90.77,8,8,2026-03-14
CVEO,0,85.24,8,8,2026-03-14
CVV,5,89.87,8,13,2026-03-14
CW,5,91.19,8,13,2026-03-14
DALN,6,97.74,8,14,2026-03-14
DAN,4,93.26,8,12,2026-03-14
DAR,4,92.93,8,12,2026-03-14
DARP,6,86.68,8,14,2026-03-14
DAWN,5,97.33,8,13,2026-03-14
BRAZ,6,85.2,8,14,2026-03-14
BORR,0,94.28,8,8,2026-03-14
DTCR,6,85.33,8,14,2026-03-14
ALNT,0,93.35,8,8,2026-03-14
ALXO,0,96.05,8,8,2026-03-14
AMAT,0,94.26,8,8,2026-03-14
AMLX,0,95.32,8,8,2026-03-14
AMPX,5,98.64,8,13,2026-03-14
AMRK,6,92.06,8,14,2026-03-14
ANAB,4,96.77,8,12,2026-03-14
ANDE,4,91.69,8,12,2026-03-14
ANNX,0,94.79,8,8,2026-03-14
ANRO,0,98.89,8,8,2026-03-14
ANTE,6,99.0,8,14,2026-03-14
AP,4,98.21,8,12,2026-03-14
APA,0,89.88,8,8,2026-03-14
APEI,6,91.31,8,14,2026-03-14
APGE,0,90.91,8,8,2026-03-14
APYX,4,94.92,8,12,2026-03-14
ARMN,0,97.12,8,8,2026-03-14
AROC,7,89.42,8,15,2026-03-14
ARTV,0,96.59,8,8,2026-03-14
ARVN,0,88.88,8,8,2026-03-14
ASA,7,94.6,8,15,2026-03-14
ASC,0,88.74,8,8,2026-03-14
ALTO,0,97.64,8,8,2026-03-14
ALMS,0,98.75,8,8,2026-03-14
BOF,0,91.58,8,8,2026-03-14
ALLO,0,94.24,8,8,2026-03-14
AAOI,6,99.02,8,14,2026-03-14
AAUC,0,95.53,8,8,2026-03-14
ABOS,0,96.3,8,8,2026-03-14
ACLX,0,92.36,8,8,2026-03-14
ADAG,7,93.72,8,15,2026-03-14
ADCT,5,92.96,8,13,2026-03-14
ADEA,8,93.1,8,16,2026-03-14
ADI,4,85.02,8,12,2026-03-14
ADM,0,85.09,8,8,2026-03-14
AEHR,0,97.35,8,8,2026-03-14
AEIS,5,95.6,8,13,2026-03-14
AEM,6,92.52,8,14,2026-03-14
AENT,5,87.13,8,13,2026-03-14
AEON,0,91.05,8,8,2026-03-14
AG,6,97.25,8,14,2026-03-14
AGI,5,92.09,8,13,2026-03-14
AGX,4,96.29,8,12,2026-03-14
AHR,0,86.58,8,8,2026-03-14
AIR,0,90.32,8,8,2026-03-14
AIS,6,90.23,8,14,2026-03-14
AKAM,0,85.58,8,8,2026-03-14
ASHS,6,86.61,8,14,2026-03-14
ASMG,6,95.28,8,14,2026-03-14
ASML,5,91.94,8,13,2026-03-14
ASRT,8,99.27,8,16,2026-03-14
BBDO,0,86.95,8,8,2026-03-14
BBLGW,0,92.73,8,8,2026-03-14
BCAX,0,86.92,8,8,2026-03-14
BDRY,6,89.54,8,14,2026-03-14
BDSX,7,99.82,8,15,2026-03-14
BE,7,98.41,8,15,2026-03-14
BERZ,6,99.69,8,14,2026-03-14
BFLY,4,91.84,8,12,2026-03-14
BG,0,90.27,8,8,2026-03-14
BHE,0,85.22,8,8,2026-03-14
BHP,7,87.09,8,15,2026-03-14
BIOA,0,98.09,8,8,2026-03-14
BKD,4,94.32,8,12,2026-03-14
BKR,4,86.23,8,12,2026-03-14
BKTI,4,92.88,8,12,2026-03-14
BLTE,0,95.54,8,8,2026-03-14
BNDD,6,98.28,8,14,2026-03-14
BNKD,6,98.36,8,14,2026-03-14
BNO,6,90.83,8,14,2026-03-14
BOAT,6,85.83,8,14,2026-03-14
BODI,6,90.94,8,14,2026-03-14
BBD,0,87.3,8,8,2026-03-14
BBC,6,92.43,8,14,2026-03-14
BATT,6,88.72,8,14,2026-03-14
AUMI,6,92.85,8,14,2026-03-14
ASRV,0,85.39,8,8,2026-03-14
ASTE,5,86.64,8,13,2026-03-14
ASX,0,94.21,8,8,2026-03-14
ATHA,0,99.51,8,8,2026-03-14
ATI,0,95.4,8,8,2026-03-14
ATLO,0,86.11,8,8,2026-03-14
ATMC,6,85.81,8,14,2026-03-14
ATRO,5,94.74,8,13,2026-03-14
AU,0,95.17,8,8,2026-03-14
AUPH,7,86.76,8,15,2026-03-14
BASE,6,85.65,8,14,2026-03-14
AVDL,0,93.34,8,8,2026-03-14
AVIR,0,94.94,8,8,2026-03-14
AVTX,0,94.0,8,8,2026-03-14
AWP,7,97.66,8,15,2026-03-14
AXTI,4,99.75,8,12,2026-03-14
AYTU,4,87.25,8,12,2026-03-14
AZN,0,96.65,8,8,2026-03-14
BAP,0,88.92,8,8,2026-03-14
BAR,6,89.28,8,14,2026-03-14
DSX,0,87.31,8,8,2026-03-14
DTM,0,85.05,8,8,2026-03-14
LFWD,4,99.36,8,12,2026-03-14
HRTG,0,85.17,8,8,2026-03-14
HSHP,0,94.14,8,8,2026-03-14
HWM,4,90.48,8,12,2026-03-14
HYDR,6,90.59,8,14,2026-03-14
IAG,4,96.53,8,12,2026-03-14
IAU,6,89.23,8,14,2026-03-14
IAUM,6,89.34,8,14,2026-03-14
IAUX,0,95.79,8,8,2026-03-14
IBAT,6,86.26,8,14,2026-03-14
ICAD,6,95.12,8,14,2026-03-14
ICHR,0,96.58,8,8,2026-03-14
ICLN,6,85.06,8,14,2026-03-14
IDCC,0,86.31,8,8,2026-03-14
IDYA,0,86.71,8,8,2026-03-14
IEZ,6,88.58,8,14,2026-03-14
IGE,6,85.48,8,14,2026-03-14
IHS,5,87.93,8,13,2026-03-14
IKNA,6,99.67,8,14,2026-03-14
ILIT,6,92.24,8,14,2026-03-14
ILPT,4,87.12,8,12,2026-03-14
IMMX,0,98.38,8,8,2026-03-14
IMO,0,90.04,8,8,2026-03-14
HSBC,0,86.47,8,8,2026-03-14
HP,0,89.33,8,8,2026-03-14
GNFT,6,91.6,8,14,2026-03-14
HOUS,0,98.39,8,8,2026-03-14
GOAU,6,91.03,8,14,2026-03-14
GOEX,6,93.69,8,14,2026-03-14
GORO,0,95.46,8,8,2026-03-14
GPRE,0,96.2,8,8,2026-03-14
GRC,4,89.56,8,12,2026-03-14
GRCE,0,85.08,8,8,2026-03-14
GRDN,7,87.66,8,15,2026-03-14
GREEL,6,95.65,8,14,2026-03-14
GRO,0,93.63,8,8,2026-03-14
GROW,0,87.34,8,8,2026-03-14
GSG,6,86.04,8,14,2026-03-14
GSL,0,85.77,8,8,2026-03-14
GUSH,6,90.62,8,14,2026-03-14
HAFN,4,87.2,8,12,2026-03-14
HAL,4,89.31,8,12,2026-03-14
HAP,6,85.46,8,14,2026-03-14
HCA,4,86.59,8,12,2026-03-14
HCSG,0,86.17,8,8,2026-03-14
HEES,6,90.79,8,14,2026-03-14
HII,4,92.18,8,12,2026-03-14
HLIO,4,90.96,8,12,2026-03-14
IMOS,0,94.25,8,8,2026-03-14
IMTX,5,91.04,8,13,2026-03-14
INNV,0,95.55,8,8,2026-03-14
