symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,met_count,rs_score,cond8
GS,True,True,True,True,True,True,True,8,89.05,True
XAR,True,True,True,True,True,True,True,8,89.04,True
DERM,True,True,True,True,True,True,True,8,89.02,True
TMAT,True,True,True,True,True,True,True,8,89.01,True
ESPO,True,True,True,True,True,True,True,8,88.99,True
BTRN,True,True,True,True,True,True,True,8,88.94,True
WNS,True,True,True,True,True,True,True,8,88.93,True
GTES,True,True,True,True,True,True,True,8,88.9,True
KF,True,True,True,True,True,True,True,8,88.8,True
FLUT,True,True,True,True,True,True,True,8,88.78,True
LOUP,True,True,True,True,True,True,True,8,88.66,True
PHAR,True,True,True,True,True,True,True,8,88.61,True
CYBR,True,True,True,True,True,True,True,8,88.59,True
MRCY,True,True,True,True,True,True,True,8,88.58,True
PLYA,True,True,True,True,True,True,True,8,88.57,True
ING,True,True,True,True,True,True,True,8,88.53,True
MTRX,True,True,True,True,True,True,True,8,88.52,True
AIP,True,True,True,True,True,True,True,8,88.51,True
LYG,True,True,True,True,True,True,True,8,88.49,True
MNMD,True,True,True,True,True,True,True,8,88.45,True
UTES,True,True,True,True,True,True,True,8,88.4,True
VEEV,True,True,True,True,True,True,True,8,88.36,True
BYFC,True,True,True,True,True,True,True,8,88.32,True
ODDS,True,True,True,True,True,True,True,8,88.28,True
NEM,True,True,True,True,True,True,True,8,88.25,True
GSIB,True,True,True,True,True,True,True,8,88.22,True
MCRI,True,True,True,True,True,True,True,8,88.21,True
ITA,True,True,True,True,True,True,True,8,88.18,True
PWRD,True,True,True,True,True,True,True,8,88.16,True
RBKB,True,True,True,True,True,True,True,8,88.13,True
BWFG,True,True,True,True,True,True,True,8,88.12,True
LANV,True,True,True,True,True,True,True,8,88.11,True
PINS,True,True,True,True,True,True,True,8,88.09,True
FOSLL,True,True,True,True,True,True,True,8,88.07,True
SCHW,True,True,True,True,True,True,True,8,88.06,True
SPNT,True,True,True,True,True,True,True,8,88.02,True
GTLS,True,True,True,True,True,True,True,8,88.01,True
VNAM,True,True,True,True,True,True,True,8,87.94,True
CLFD,True,True,True,True,True,True,True,8,87.9,True
ITRN,True,True,True,True,True,True,True,8,87.86,True
FFIV,True,True,True,True,True,True,True,8,87.83,True
CTBB,True,True,True,True,True,True,True,8,87.81,True
NWG,True,True,True,True,True,True,True,8,87.73,True
NVNO,True,True,True,True,True,True,True,8,87.72,True
SOCL,True,True,True,True,True,True,True,8,87.71,True
ROKT,True,True,True,True,True,True,True,8,87.7,True
