symbol,has_image,vcp_detected,vcp_confidence,cup_handle_detected,cup_handle_confidence,detection_date,error
MGNI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
AGX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FUTU,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PAC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
APYX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FSI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CPS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
MBOT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SSSS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
GORO,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SKE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
GHRS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
IPX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CRPT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
POET,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
YMM,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FIX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ESE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SRAD,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
MGIC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
MS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
APH,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
XMTR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FORD,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
EFOI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
KFS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TPR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
AP,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ZG,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
RFIL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
MGTX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
LIF,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TSAT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TRVI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ETNB,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PZG,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
AWI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
OPOF,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CKPT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
VST,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
APEI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
IHS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ATI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
DC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BCS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
VZLA,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
JNUG,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
RYTM,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
DHX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
