date,Open,High,Low,Close,Adj Close,Volume,symbol
2024-07-25 04:00:00+00:00,25.0,25.0,20.0,24.0,24.0,61978,CBIO
2024-07-26 04:00:00+00:00,23.0,25.0,23.0,24.0,24.0,14585,CBIO
2024-07-29 04:00:00+00:00,24.0,24.0,23.0,23.0,23.0,15463,CBIO
2024-07-30 04:00:00+00:00,24.0,24.0,21.0,22.0,22.0,46528,CBIO
2024-07-31 04:00:00+00:00,22.0,23.0,20.0,22.0,22.0,20927,CBIO
2024-08-01 04:00:00+00:00,22.0,23.0,21.0,22.0,22.0,9288,CBIO
2024-08-02 04:00:00+00:00,21.0,21.0,19.0,20.0,20.0,14901,CBIO
2024-08-05 04:00:00+00:00,18.0,19.0,17.0,18.0,18.0,10094,CBIO
2024-08-06 04:00:00+00:00,19.0,19.0,18.0,18.0,18.0,9052,CBIO
2024-08-07 04:00:00+00:00,18.0,19.0,17.0,17.0,17.0,10785,CBIO
2024-08-08 04:00:00+00:00,18.0,20.0,18.0,19.0,19.0,16781,CBIO
2024-08-09 04:00:00+00:00,18.0,19.0,18.0,18.0,18.0,10422,CBIO
2024-08-12 04:00:00+00:00,18.0,19.0,17.0,18.0,18.0,11717,CBIO
2024-08-13 04:00:00+00:00,18.0,19.0,18.0,18.0,18.0,16939,CBIO
2024-08-14 04:00:00+00:00,18.0,18.0,17.0,17.0,17.0,9007,CBIO
2024-08-15 04:00:00+00:00,17.0,18.0,17.0,18.0,18.0,13802,CBIO
2024-08-16 04:00:00+00:00,18.0,18.0,17.0,18.0,18.0,9600,CBIO
2024-08-19 04:00:00+00:00,17.0,19.0,17.0,17.0,17.0,27321,CBIO
2024-08-20 04:00:00+00:00,17.0,21.0,17.0,19.0,19.0,40421,CBIO
2024-08-21 04:00:00+00:00,19.0,19.0,18.0,19.0,19.0,13441,CBIO
2024-08-22 04:00:00+00:00,19.0,19.0,18.0,19.0,19.0,9195,CBIO
2024-08-23 04:00:00+00:00,18.0,20.0,18.0,19.0,19.0,10413,CBIO
2024-08-26 04:00:00+00:00,19.0,20.0,19.0,19.0,19.0,15287,CBIO
2024-08-27 04:00:00+00:00,19.0,19.0,17.0,18.0,18.0,9530,CBIO
2024-08-28 04:00:00+00:00,16.0,18.0,16.0,17.0,17.0,15405,CBIO
2024-08-29 04:00:00+00:00,17.0,18.0,17.0,17.0,17.0,8071,CBIO
2024-08-30 04:00:00+00:00,18.0,18.0,17.0,18.0,18.0,5738,CBIO
2024-09-03 04:00:00+00:00,18.0,18.0,17.0,17.0,17.0,5221,CBIO
2024-09-04 04:00:00+00:00,17.0,17.0,16.0,16.0,16.0,5288,CBIO
2024-09-05 04:00:00+00:00,17.0,17.0,16.0,16.0,16.0,3999,CBIO
2024-09-06 04:00:00+00:00,16.0,17.0,16.0,16.0,16.0,4046,CBIO
2024-09-09 04:00:00+00:00,16.0,16.0,16.0,16.0,16.0,3810,CBIO
2024-09-10 04:00:00+00:00,17.0,17.0,16.0,16.0,16.0,5797,CBIO
2024-09-11 04:00:00+00:00,17.0,17.0,16.0,16.0,16.0,3884,CBIO
2024-09-12 04:00:00+00:00,16.0,16.0,16.0,16.0,16.0,4837,CBIO
2024-09-13 04:00:00+00:00,16.0,18.0,16.0,17.0,17.0,5395,CBIO
2024-09-16 04:00:00+00:00,17.0,17.0,16.0,16.0,16.0,3527,CBIO
2024-09-17 04:00:00+00:00,16.0,17.0,16.0,17.0,17.0,2731,CBIO
2024-09-18 04:00:00+00:00,17.0,18.0,16.0,16.0,16.0,18304,CBIO
2024-09-19 04:00:00+00:00,17.0,18.0,16.0,17.0,17.0,4308,CBIO
2024-09-20 04:00:00+00:00,17.0,18.0,16.0,16.0,16.0,3991,CBIO
2024-09-23 04:00:00+00:00,17.0,17.0,16.0,16.0,16.0,6864,CBIO
2024-09-24 04:00:00+00:00,16.0,16.0,16.0,16.0,16.0,2360,CBIO
2024-09-25 04:00:00+00:00,16.0,16.0,16.0,16.0,16.0,2367,CBIO
2024-09-26 04:00:00+00:00,16.0,17.0,16.0,17.0,17.0,11567,CBIO
2024-09-27 04:00:00+00:00,17.0,17.0,16.0,17.0,17.0,3627,CBIO
2024-09-30 04:00:00+00:00,17.0,17.0,16.0,17.0,17.0,4555,CBIO
2024-10-01 04:00:00+00:00,17.0,17.0,16.0,17.0,17.0,3687,CBIO
2024-10-02 04:00:00+00:00,17.0,17.0,15.0,15.0,15.0,9177,CBIO
2024-10-03 04:00:00+00:00,15.0,16.0,15.0,16.0,16.0,4852,CBIO
2024-10-04 04:00:00+00:00,16.0,16.0,16.0,16.0,16.0,2255,CBIO
2024-10-07 04:00:00+00:00,16.0,16.0,15.0,16.0,16.0,3197,CBIO
2024-10-08 04:00:00+00:00,16.0,16.0,15.0,15.0,15.0,2437,CBIO
2024-10-09 04:00:00+00:00,15.0,15.0,14.0,14.0,14.0,7153,CBIO
2024-10-10 04:00:00+00:00,14.0,15.0,14.0,14.0,14.0,3283,CBIO
2024-10-11 04:00:00+00:00,14.0,17.0,14.0,15.0,15.0,15351,CBIO
2024-10-14 04:00:00+00:00,15.0,15.0,15.0,15.0,15.0,2020,CBIO
2024-10-15 04:00:00+00:00,14.0,16.0,14.0,15.0,15.0,3444,CBIO
2024-10-16 04:00:00+00:00,15.0,17.0,15.0,16.0,16.0,27380,CBIO
2024-10-17 04:00:00+00:00,16.0,17.0,15.0,16.0,16.0,7090,CBIO
2024-10-18 04:00:00+00:00,16.0,16.0,15.0,16.0,16.0,3854,CBIO
2024-10-21 04:00:00+00:00,16.0,17.0,16.0,16.0,16.0,7684,CBIO
2024-10-22 04:00:00+00:00,16.0,17.0,16.0,17.0,17.0,10046,CBIO
2024-10-23 04:00:00+00:00,17.0,19.0,17.0,18.0,18.0,20873,CBIO
2024-10-24 04:00:00+00:00,19.0,21.0,17.0,17.0,17.0,37615,CBIO
2024-10-25 04:00:00+00:00,17.0,18.0,16.0,17.0,17.0,11326,CBIO
2024-10-28 04:00:00+00:00,17.0,18.0,17.0,17.0,17.0,9706,CBIO
2024-10-29 04:00:00+00:00,38.0,63.0,32.0,49.0,49.0,11221418,CBIO
2024-10-30 04:00:00+00:00,44.0,54.0,42.0,46.0,46.0,448658,CBIO
2024-10-31 04:00:00+00:00,45.0,47.0,37.0,41.0,41.0,136507,CBIO
2024-11-01 04:00:00+00:00,41.0,42.0,38.0,38.0,38.0,39747,CBIO
2024-11-04 05:00:00+00:00,33.0,41.0,31.0,41.0,41.0,44847,CBIO
2024-11-05 05:00:00+00:00,42.0,42.0,38.0,39.0,39.0,15352,CBIO
2024-11-06 05:00:00+00:00,38.0,39.0,34.0,38.0,38.0,26148,CBIO
