symbol,company_name,ipo_date,filing_date,price_range,shares_offered,exchange,type,source,form_type,cik,accession_number,file_description,business_address,sic_code,fiscal_year_end
,Bitwise Solana ETF  (CIK 0002045872),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2045872,,AMENDMENT NO. 2 TO FORM S-1,,,
,Franklin Solana Trust  (CIK 0002057388),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2057388,,,,,
,Elventix Technology Corp  (CIK 0002076765),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2076765,,FORM S-1,,,
,Evolution Global Acquisition Corp  (CIK 0002077954),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2077954,,REGISTRATION STATEMENT,,,
,Fidelity Solana Fund  (CIK 0002063380),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2063380,,S-1/A,,,
,Fidelity Solana Fund  (CIK 0002063380),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2063380,,S-1/A,,,
,Elventix Technology Corp  (CIK 0002076765),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2076765,,FORM S-1,,,
,Bitwise Solana ETF  (CIK 0002045872),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2045872,,AMENDMENT NO. 2 TO FORM S-1,,,
,Evolution Global Acquisition Corp  (CIK 0002077954),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2077954,,REGISTRATION STATEMENT,,,
,Fidelity Solana Fund  (CIK 0002063380),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2063380,,S-1/A,,,
,Evolution Global Acquisition Corp  (CIK 0002077954),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2077954,,REGISTRATION STATEMENT,,,
,Bitwise Solana ETF  (CIK 0002045872),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2045872,,AMENDMENT NO. 2 TO FORM S-1,,,
,VanEck Solana ETF  (CIK 0002028541),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2028541,,S-1/A,,,
,Canary Marinade Solana ETF  (CIK 0002041869),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2041869,,AMENDMENT TO FORM S-1,,,
,CoinShares Solana Staking ETF  (CIK 0002073298),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2073298,,AMENDMENT TO FORM S-1,,,
,CHARMING WOW INC  (CIK 0002071350),2025-07-31,2025-07-31,,,,IPO,sec_edgar,F-1,2071350,,FORM F-1,,,
,CHARMING WOW INC  (CIK 0002071350),2025-07-31,2025-07-31,,,,IPO,sec_edgar,F-1,2071350,,FORM F-1,,,
,CHARMING WOW INC  (CIK 0002071350),2025-07-31,2025-07-31,,,,IPO,sec_edgar,F-1,2071350,,FORM F-1,,,
,Canary Marinade Solana ETF  (CIK 0002041869),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2041869,,AMENDMENT TO FORM S-1,,,
,VanEck Solana ETF  (CIK 0002028541),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2028541,,S-1/A,,,
,Canary Marinade Solana ETF  (CIK 0002041869),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2041869,,AMENDMENT TO FORM S-1,,,
,Franklin Solana Trust  (CIK 0002057388),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2057388,,,,,
,CoinShares Solana Staking ETF  (CIK 0002073298),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2073298,,AMENDMENT TO FORM S-1,,,
,Franklin Solana Trust  (CIK 0002057388),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2057388,,,,,
,VanEck Solana ETF  (CIK 0002028541),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2028541,,S-1/A,,,
,VanEck Solana ETF  (CIK 0002028541),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2028541,,S-1/A,,,
,Franklin Solana Trust  (CIK 0002057388),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2057388,,,,,
,Elventix Technology Corp  (CIK 0002076765),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2076765,,FORM S-1,,,
,Elventix Technology Corp  (CIK 0002076765),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2076765,,FORM S-1,,,
,Evolution Global Acquisition Corp  (CIK 0002077954),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2077954,,REGISTRATION STATEMENT,,,
,Fidelity Solana Fund  (CIK 0002063380),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2063380,,S-1/A,,,
,CoinShares Solana Staking ETF  (CIK 0002073298),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2073298,,AMENDMENT TO FORM S-1,,,
,Canary Marinade Solana ETF  (CIK 0002041869),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2041869,,AMENDMENT TO FORM S-1,,,
,Transten Global Group Ltd  (CIK 0002018836),2025-07-30,2025-07-30,,,,IPO,sec_edgar,F-1,2018836,,REGISTRATION STATEMENT,,,
,21Shares Core Solana ETF  (CIK 0002028834),2025-07-30,2025-07-30,,,,IPO,sec_edgar,S-1,2028834,,AMENDMENT NO. 2 TO FORM S-1,,,
,Transten Global Group Ltd  (CIK 0002018836),2025-07-30,2025-07-30,,,,IPO,sec_edgar,F-1,2018836,,REGISTRATION STATEMENT,,,
,21Shares Core Solana ETF  (CIK 0002028834),2025-07-30,2025-07-30,,,,IPO,sec_edgar,S-1,2028834,,AMENDMENT NO. 2 TO FORM S-1,,,
,Transten Global Group Ltd  (CIK 0002018836),2025-07-30,2025-07-30,,,,IPO,sec_edgar,F-1,2018836,,REGISTRATION STATEMENT,,,
,Transten Global Group Ltd  (CIK 0002018836),2025-07-30,2025-07-30,,,,IPO,sec_edgar,F-1,2018836,,REGISTRATION STATEMENT,,,
HCMA,HCM III ACQUISITION CORP.  (HCMA)  (CIK 0002069856),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002069856,,REGISTRATION STATEMENT,N/A,,
QUMS,Quantumsphere Acquisition Corp  (QUMS)  (CIK 0002070900),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002070900,,S-1/A,N/A,,
N/A,21Shares Core Solana ETF  (CIK 0002028834),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002028834,,AMENDMENT NO. 2 TO FORM S-1,N/A,,
MCTA,Charming Medical Ltd  (MCTA)  (CIK 0002035992),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002035992,,REGISTRATION STATEMENT,N/A,,
RZLV,"REZOLVE AI PLC  (RZLV, RZLVW)  (CIK 0001920294)",2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001920294,,F-1,N/A,,
N/A,Transten Global Group Ltd  (CIK 0002018836),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002018836,,REGISTRATION STATEMENT,N/A,,
MYNZ,MAINZ BIOMED N.V.  (MYNZ)  (CIK 0001874252),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001874252,,REGISTRATION STATEMENT,N/A,,
APAD,AParadise Acquisition Corp.  (APAD)  (CIK 0001956439),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001956439,,PROSPECTUS,N/A,,
,21Shares Core Solana ETF  (CIK 0002028834),2025-07-30,2025-07-30,,,,IPO,sec_edgar,S-1,2028834,,AMENDMENT NO. 2 TO FORM S-1,,,
IBATF,INTERNATIONAL BATTERY METALS LTD.  (IBATF)  (CIK 0001786318),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001786318,,S-1/A,N/A,,
AOAO,Alpha One Inc.  (AOAO)  (CIK 0002042320),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002042320,,S-1/A,N/A,,
PMI,"Picard Medical, Inc.  (PMI)  (CIK 0002030617)",2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002030617,,S-1/A,N/A,,
,21Shares Core Solana ETF  (CIK 0002028834),2025-07-30,2025-07-30,,,,IPO,sec_edgar,S-1,2028834,,AMENDMENT NO. 2 TO FORM S-1,,,
LION,Lionsgate Studios Corp.  (LION)  (CIK 0002052959),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002052959,,S-1/A,N/A,,
AGCC,Agencia Comercial Spirits Ltd.  (AGCC)  (CIK 0002060016),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002060016,,AMENDMENT NO. 1 TO FORM F-1,N/A,,
DKI,DarkIris Inc.  (DKI)  (CIK 0002058584),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002058584,,F-1/A,N/A,,
MAGH,Magnitude International Ltd  (MAGH)  (CIK 0002046117),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002046117,,F-1/A,N/A,,
N/A,TechCreate Group Ltd.  (CIK 0002047190),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002047190,,F-1,N/A,,
CANF,Can-Fite BioPharma Ltd.  (CANF)  (CIK 0001536196),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001536196,,PROSPECTUS,N/A,,
SOPA,SOCIETY PASS INCORPORATED.  (SOPA)  (CIK 0001817511),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001817511,,REGISTRATION STATEMENT,N/A,,
QUBT,Quantum Computing Inc.  (QUBT)  (CIK 0001758009),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001758009,,REGISTRATION STATEMENT,N/A,,
N/A,Synera Studio Inc  (CIK 0002076167),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002076167,,FORM S-1,N/A,,
NUKK,"Nukkleus Inc.  (NUKK, NUKKW)  (CIK 0001787518)",2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001787518,,AMENDMENT NO. 4 TO FORM S-1,N/A,,
QDMI,QDM International Inc.  (QDMI)  (CIK 0001094032),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001094032,,REGISTRATION STATEMENT,N/A,,
N/A,GSR IV Acquisition Corp.  (CIK 0002072404),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002072404,,REGISTRATION STATEMENT,N/A,,
,TechCreate Group Ltd.  (CIK 0002047190),2025-07-29,2025-07-29,,,,IPO,sec_edgar,F-1,2047190,,F-1,,,
NTRP,"NextTrip, Inc.  (NTRP)  (CIK 0000788611)",2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,S-1,0000788611,,S-1/A,N/A,,
N/A,Nomadar Corp.  (CIK 0001994214),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001994214,,S-1/A,N/A,,
EVOH,EvoAir Holdings Inc.  (EVOH)  (CIK 0001700844),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001700844,,S-1/A,N/A,,
,GSR IV Acquisition Corp.  (CIK 0002072404),2025-07-29,2025-07-29,,,,IPO,sec_edgar,S-1,2072404,,REGISTRATION STATEMENT,,,
,Nomadar Corp.  (CIK 0001994214),2025-07-29,2025-07-29,,,,IPO,sec_edgar,S-1,1994214,,S-1/A,,,
,Synera Studio Inc  (CIK 0002076167),2025-07-29,2025-07-29,,,,IPO,sec_edgar,S-1,2076167,,FORM S-1,,,
,TechCreate Group Ltd.  (CIK 0002047190),2025-07-29,2025-07-29,,,,IPO,sec_edgar,F-1,2047190,,F-1,,,
,Synera Studio Inc  (CIK 0002076167),2025-07-29,2025-07-29,,,,IPO,sec_edgar,S-1,2076167,,FORM S-1,,,
,Nomadar Corp.  (CIK 0001994214),2025-07-29,2025-07-29,,,,IPO,sec_edgar,S-1,1994214,,S-1/A,,,
,Nomadar Corp.  (CIK 0001994214),2025-07-29,2025-07-29,,,,IPO,sec_edgar,S-1,1994214,,S-1/A,,,
,TechCreate Group Ltd.  (CIK 0002047190),2025-07-29,2025-07-29,,,,IPO,sec_edgar,F-1,2047190,,F-1,,,
,GSR IV Acquisition Corp.  (CIK 0002072404),2025-07-29,2025-07-29,,,,IPO,sec_edgar,S-1,2072404,,REGISTRATION STATEMENT,,,
,GSR IV Acquisition Corp.  (CIK 0002072404),2025-07-29,2025-07-29,,,,IPO,sec_edgar,S-1,2072404,,REGISTRATION STATEMENT,,,
,Nomadar Corp.  (CIK 0001994214),2025-07-29,2025-07-29,,,,IPO,sec_edgar,S-1,1994214,,S-1/A,,,
,Synera Studio Inc  (CIK 0002076167),2025-07-29,2025-07-29,,,,IPO,sec_edgar,S-1,2076167,,FORM S-1,,,
,Synera Studio Inc  (CIK 0002076167),2025-07-29,2025-07-29,,,,IPO,sec_edgar,S-1,2076167,,FORM S-1,,,
,GSR IV Acquisition Corp.  (CIK 0002072404),2025-07-29,2025-07-29,,,,IPO,sec_edgar,S-1,2072404,,REGISTRATION STATEMENT,,,
,TechCreate Group Ltd.  (CIK 0002047190),2025-07-29,2025-07-29,,,,IPO,sec_edgar,F-1,2047190,,F-1,,,
N/A,Radiant Strategies Corp  (CIK 0002056016),2025-07-28,2025-07-28,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002056016,,S-1/A,N/A,,
LIMN,"Liminatus Pharma, Inc.  (LIMN, LIMNW)  (CIK 0001971387)",2025-07-28,2025-07-28,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001971387,,S-1/A,N/A,,
,"ADAPTIN BIO, INC.  (CIK 0001938571)",2025-07-28,2025-07-28,,,,IPO,sec_edgar,S-1,1938571,,AMENDMENT NO. 2 TO FORM S-1,,,
,Radiant Strategies Corp  (CIK 0002056016),2025-07-28,2025-07-28,,,,IPO,sec_edgar,S-1,2056016,,S-1/A,,,
,Radiant Strategies Corp  (CIK 0002056016),2025-07-28,2025-07-28,,,,IPO,sec_edgar,S-1,2056016,,S-1/A,,,
,OFF THE HOOK YS INC.  (CIK 0002067767),2025-07-28,2025-07-28,,,,IPO,sec_edgar,S-1,2067767,,S-1/A,,,
,Radiant Strategies Corp  (CIK 0002056016),2025-07-28,2025-07-28,,,,IPO,sec_edgar,S-1,2056016,,S-1/A,,,
,"ADAPTIN BIO, INC.  (CIK 0001938571)",2025-07-28,2025-07-28,,,,IPO,sec_edgar,S-1,1938571,,AMENDMENT NO. 2 TO FORM S-1,,,
